Municipio,CP,sessionID,DNI,Telef,duration_call_mins,Producto,chalet/piso,bajo/intermedio,adosado/unifamiliar,rejas,perro,Distritos,Total 2020,Incremento renta,1.-Homicidios dolosos y asesinatos consumados en Enero-marzo 2019,1.-Homicidios dolosos y asesinatos consumados en Enero-marzo 2020,2.-Homicidios dolosos y asesinatos en grado tentativa en Enero-marzo 2019,2.-Homicidios dolosos y asesinatos en grado tentativa en Enero-marzo 2020,3.-Delitos graves y menos graves de lesiones y ri�a tumultuaria en Enero-marzo 2019,3.-Delitos graves y menos graves de lesiones y ri�a tumultuaria en Enero-marzo 2020,4.-Secuestro en Enero-marzo 2019,4.-Secuestro en Enero-marzo 2020,5.-Delitos contra la libertad e indemnidad sexual en Enero-marzo 2019,5.-Delitos contra la libertad e indemnidad sexual en Enero-marzo 2020,5.1.-Agresi�n sexual con penetraci�n en Enero-marzo 2019,5.1.-Agresi�n sexual con penetraci�n en Enero-marzo 2020,5.2.-Resto de delitos contra la libertad e indemnidad sexual en Enero-marzo 2019,5.2.-Resto de delitos contra la libertad e indemnidad sexual en Enero-marzo 2020,6.-Robos con violencia e intimidaci�n en Enero-marzo 2019,6.-Robos con violencia e intimidaci�n en Enero-marzo 2020,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones en Enero-marzo 2019","7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones en Enero-marzo 2020",7.1.-Robos con fuerza en domicilios en Enero-marzo 2019,7.1.-Robos con fuerza en domicilios en Enero-marzo 2020,8.-Hurtos en Enero-marzo 2019,8.-Hurtos en Enero-marzo 2020,9.-Sustracciones de veh�culos en Enero-marzo 2019,9.-Sustracciones de veh�culos en Enero-marzo 2020,10.-Tr�fico de drogas en Enero-marzo 2019,10.-Tr�fico de drogas en Enero-marzo 2020,Resto de infracciones penales en Enero-marzo 2019,Resto de infracciones penales en Enero-marzo 2020,TOTAL INFRACCIONES PENALES en Enero-marzo 2019,TOTAL INFRACCIONES PENALES en Enero-marzo 2020
Alcobendas,28006,b'MC40MTgzMTgzMjIwNjU4NjQ4Mw==',X22775080,656946061,9.440607339232216,,Chalet,,Unifamiliar,Con Rejas,,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC40NzEyODc2NzE4ODc5MTQy',X02179099,669227530,3.0434355909259825,,Chalet,,Adosado,Con Rejas,,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC41MTM3NTQyMTQzNDY5OTk1',X35202733,620579495,2.4163834775771,,Chalet,,Adosado,Con Rejas,,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC42MjgyNDU0MDA4MjAxOTc5',X24137653,612593663,2.1403939002869614,,Piso,Bajo,,Con Rejas,Con Perro,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC42ODA5MTIyNTE4ODM2MDc4',X24137653,612593663,9.11289825146794,,Piso,Bajo,,Con Rejas,Con Perro,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC42ODcxNDIzOTk1ODM2MzI4',X72438126,637455621,10.612247638226137,,Piso,Intermedio,,,Con Perro,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC42ODg5OTQ5MDQ2MjYyOTY0',X24137653,612593663,5.809231523576386,,Piso,Bajo,,Con Rejas,Con Perro,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC43NjkyNDg2ODEyNTYzNjE0',X72438126,637455621,5.069646292137498,,Piso,Intermedio,,,Con Perro,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC44NDA2ODQzMDE1NjkxMzc5',X72438126,637455621,10.663177085924424,,Piso,Intermedio,,,Con Perro,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
Alcobendas,28006,b'MC44NDA4OTQyNTIxNTI1NDUy',X02179099,669227530,2.364829325193168,,Chalet,,Adosado,Con Rejas,,distrito 01,18.684,0.03100000000000236,0.0,0.0,1.0,1.0,9.0,7.0,0.0,0.0,6.0,10.0,0.0,2.0,6.0,8.0,22.0,24.0,111.0,66.0,51.0,28.0,317.0,246.0,68.0,48.0,5.0,3.0,768.0,700.0,1307.0,1105.0
